Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
41001094,Instituto de Educación Secundaria,Maese Rodrigo,Público,"Ctra. de Alcalá, s/n",41410,Carmona,Sevilla,266 km,2h 44 min
41700099,Instituto de Educación Secundaria,Juan de Mairena,Público,"Avda. de las Américas, s/n",41927,Mairena del Aljarafe,Sevilla,266 km,2h 44 min
41700351,Instituto de Educación Secundaria,Atenea,Público,"C/ Ítaca, 2",41927,Mairena del Aljarafe,Sevilla,265 km,2h 44 min
11003862,Instituto de Educación Secundaria,Tolosa,Público,"Avda. de la Banqueta, 12",11300,La Línea de la Concepción,Cádiz,253 km,2h 45 min
11003874,Instituto de Educación Secundaria,Mediterráneo,Público,"Avda. María Auxiliadora, 16",11300,La Línea de la Concepción,Cádiz,253 km,2h 45 min
11003886,Instituto de Educación Secundaria,Virgen de la Esperanza,Público,"Avda. La Banqueta, 10-12",11300,La Línea de la Concepción,Cádiz,253 km,2h 45 min
41000880,Instituto de Educación Secundaria,Tartessos,Público,"Bda. Hiconsa, s/n",41900,Camas,Sevilla,261 km,2h 45 min
41003741,Instituto de Educación Secundaria,Miguel de Mañara,Público,"C/ Cultura, s/n. (Aptdo. de correos 103)",41300,La Rinconada,Sevilla,264 km,2h 45 min
41011026,Instituto de Educación Secundaria,Alixar,Público,"Avda. de la Unidad, s/n",41950,Castilleja de la Cuesta,Sevilla,266 km,2h 45 min
41701626,Instituto de Educación Secundaria,Cavaleri,Público,"Ronda de Cavaleri, s/n",41927,Mairena del Aljarafe,Sevilla,266 km,2h 45 min
41702311,Instituto de Educación Secundaria,Matilde Casanova,Público,"C/ San Bartolomé, s/n",41980,La Algaba,Sevilla,261 km,2h 45 min
11003916,Instituto de Educación Secundaria,Mar de Poniente,Público,"Avda. del Mar, s/n",11300,La Línea de la Concepción,Cádiz,254 km,2h 46 min
41003765,Instituto de Educación Secundaria,San José de la Rinconada,Público,"C/ Cultura, 43",41300,La Rinconada,Sevilla,264 km,2h 46 min
41701766,Instituto de Educación Secundaria,Carmen Laffón,Público,"C/ Alcalde Pepe Iglesias, s/n",41300,La Rinconada,Sevilla,264 km,2h 46 min
41701821,Instituto de Educación Secundaria,Los Álamos,Público,"C/ Clara Campoamor, s/n",41930,Bormujos,Sevilla,264 km,2h 46 min
11700561,Instituto de Educación Secundaria,Sierra Luna,Público,"Avda. de Doña Rosa García, 8",11370,Los Barrios,Cádiz,261 km,2h 47 min
41008398,Instituto de Educación Secundaria,Lauretum,Público,"C/ Miguel Ángel Blanco s/n,",41807,Espartinas,Sevilla,267 km,2h 47 min
41701328,Instituto de Educación Secundaria,Pablo Neruda,Público,"C/ Manuel Rodríguez Navarro, 4",41950,Castilleja de la Cuesta,Sevilla,266 km,2h 47 min
41701377,Instituto de Educación Secundaria,Antonio de Ulloa,Público,"Avda. de la Ermita, s/n",41309,La Rinconada,Sevilla,263 km,2h 47 min
11000371,Instituto de Educación Secundaria,Kursaal,Público,"Avda. Virgen de Europa, 4",11201,Algeciras,Cádiz,262 km,2h 48 min
11000381,Instituto de Educación Secundaria,Ventura Morón,Público,"Plaza Joaquín Ibáñez, 3",11203,Algeciras,Cádiz,263 km,2h 48 min
11008446,Instituto de Educación Secundaria,Saladillo,Público,"C/ Duque de Rivas, s/n",11207,Algeciras,Cádiz,265 km,2h 48 min
11701103,Instituto de Educación Secundaria,Federico García Lorca,Público,"C/ Fernando de Herrera, s/n",11207,Algeciras,Cádiz,265 km,2h 48 min
41011464,Instituto de Educación Secundaria,Juan Ciudad Duarte,Público,"C/ San Pedro, s/n",41930,Bormujos,Sevilla,268 km,2h 48 min
41011713,Instituto de Educación Secundaria,Hipatia,Público,"Cmo.  del Jardinillo, s/n",41927,Mairena del Aljarafe,Sevilla,267 km,2h 48 min
41700853,Instituto de Educación Secundaria,Jacarandá,Público,"C/ Diamantino García, s/n",41310,Brenes,Sevilla,270 km,2h 48 min
41701286,Instituto de Educación Secundaria,El Majuelo,Público,"C/ Enrique Granados, 43",41960,Gines,Sevilla,267 km,2h 48 min
41701614,Instituto de Educación Secundaria,Las Encinas,Público,"C/ García Lorca, 16",41907,Valencina de la Concepción,Sevilla,264 km,2h 48 min
4700545,Instituto de Educación Secundaria,Aurantia,Público,Ctra. Nacional 340,4410,Benahadux,Almería,280 km,2h 49 min
